Isotope	State	Intensity (pps)	Proton current	Ion source	Info
37Rb	Rb76g	1.30E7	40	Re surface	
37Rb	Rb76g	1.30E7	40	Re surface	
38Sr	Sr76g	7.50E4	40	Re surface	
38Sr	Sr76g	2.90E4	40	Re surface	
37Rb	Rb76g	9.00E4	40	Re surface	76Rb15+
37Rb	Rb76g	8.10E4	40	Re surface	76Rb15+
38Sr	Sr76g	2.10E3	40	Re surface	76Sr15+
38Sr	Sr76g	6.80E2	40	Re surface	76Sr15+
38Sr	Sr83g	1.10E8	40	Re surface	
38Sr	Sr83g	1.10E10	40	Re surface	
37Rb	Rb83g	5.50E10	40	Re surface	
19K	K37g	4.00E3	40	Re surface	
38Sr	Sr83g	6.90E7	40	Re surface	
37Rb	Rb80g	1.70E10	40	Re surface	
37Rb	Rb79g	2.30E9	40	Re surface	
37Rb	Rb78g	7.50E8	40	Re surface	
37Rb	Rb78m1	1.50E9	40	Re surface	
38Sr	Sr78g	7.90E7	40	Re surface	
37Rb	Rb77g	5.70E7	40	Re surface	
37Rb	Rb76g	1.80E7	40	Re surface	
37Rb	Rb76g	1.50E7	40	Re surface	
38Sr	Sr76g	1.90E5	40	Re surface	
37Rb	Rb75g	5.00E5	40	Re surface	
37Rb	Rb75g	6.20E5	40	Re surface	
37Rb	Rb74g	1.90E3	40	Re surface	
29Cu	Cu62g	1.00E2	40	Re surface	
28Ni	Ni57g	5.30E4	40	TRILIS	
30Zn	Zn59g	1.80E1	40	TRILIS	
30Zn	Zn60g	5.60E4	40	TRILIS	
30Zn	Zn61g	6.80E5	40	TRILIS	
30Zn	Zn62g	1.70E6	40	TRILIS	
30Zn	Zn63g	2.00E8	40	TRILIS	
30Zn	Zn64g	1.60E9	40	TRILIS	Faraday Cup Measurement
30Zn	Zn65g	2.80E9	40	TRILIS	Faraday Cup Measurement
30Zn	Zn66g	2.10E9	40	TRILIS	Faraday Cup Measurement
30Zn	Zn67g	1.10E9	40	TRILIS	Faraday Cup Measurement
30Zn	Zn70g	2.50E7	40	TRILIS	Faraday Cup Measurement
30Zn	Zn71g	4.40E4	40	TRILIS	
30Zn	Zn71m1	1.80E7	40	TRILIS	
