Isotope	State	Intensity (pps)	Proton current	Ion source	Info
3Li	Li11g	1.20E4	65	Re surface	
3Li	Li9g	1.20E8	65	Re surface	
3Li	Li9g	5.20E7	50	Re surface	
3Li	Li9g	1.00E8	60	Re surface	
3Li	Li11g	2.30E4	65	Re surface	
3Li	Li9g	1.20E8	65	Re surface	
3Li	Li8g	1.40E9	65	Re surface	
3Li	Li8g	2.10E8	50	Re surface	
4Be	Be11g	3.60E6	50	TRILIS	
4Be	Be11g	4.30E6	50	TRILIS	
38Sr	Sr87m1	5.30E7	50	Re surface	
49In	In116m1	1.60E6	50	Re surface	
50Sn	Sn111g	2.30E7	50	TRILIS	
50Sn	Sn110g	1.90E7	50	TRILIS	
50Sn	Sn109g	2.50E6	50	TRILIS	
50Sn	Sn109g	2.50E6	50	TRILIS	
50Sn	Sn107g	1.40E4	50	TRILIS	
50Sn	Sn106g	2.90E3	50	TRILIS	
50Sn	Sn105g	4.60E2	50	TRILIS	
50Sn	Sn113g	4.30E7	50	TRILIS	
50Sn	Sn104g	3.00E1	50	TRILIS	
4Be	Be12g	4.00E3	50	TRILIS	
4Be	Be7g	7.00E7	50	TRILIS	
4Be	Be12g	6.90E3	50	TRILIS	
3Li	Li11g	6.20E3	40	Re surface	
3Li	Li9g	1.20E7	30	Re surface	
3Li	Li8g	1.50E8	30	Re surface	
49In	In106m1	2.00E4	70	Re surface	
49In	In106g	1.50E5	70	Re surface	
49In	In105g	1.90E4	70	Re surface	
49In	In104g	1.30E3	70	Re surface	
3Li	Li11g	1.50E4	70	Re surface	
3Li	Li9g	3.80E7	70	Re surface	
3Li	Li8g	5.70E8	70	Re surface	
49In	In116m2	1.90E5	70	Re surface	
49In	In116g	2.40E4	70	Re surface	
49In	In116m1	3.40E6	70	Re surface	
47Ag	Ag110g	2.00E4	70	TRILIS	
49In	In110g	3.10E7	70	Re surface	
49In	In112m1	1.50E7	70	Re surface	
49In	In112g	3.20E6	70	Re surface	
49In	In111m1	2.00E5	70	Re surface	
49In	In111g	2.30E7	70	Re surface	
49In	In110m1	1.60E6	70	Re surface	
49In	In110g	9.20E6	70	Re surface	
49In	In109m1	5.10E4	70	Re surface	
49In	In109g	6.80E6	70	Re surface	
49In	In108m1	1.90E5	70	Re surface	
49In	In108g	1.70E6	70	Re surface	
49In	In107m1	4.10E3	70	Re surface	
49In	In107g	1.00E6	70	Re surface	
65Tb	Tb148g	1.00E7	70	Re surface	
65Tb	Tb148m1	3.80E5	70	Re surface	
59Pr	Pr132g	6.10E5	70	Re surface	Pr132gO16	Pr132gO16
59Pr	Pr133g	1.40E6	70	Re surface	Pr133gO16	Pr133gO16
59Pr	Pr135g	3.30E7	70	Re surface	Pr135gO16	Pr135gO16
60Nd	Nd137g	2.20E6	70	Re surface	Nd137gO16	Nd137gO16
70Yb	Yb158g	1.70E8	70	Re surface	
61Pm	Pm142g	4.40E7	70	Re surface	Pm142gO16	Pm142gO16
65Tb	Tb149g	2.20E6	70	Re surface	Tb149gO16	Tb149gO16
70Yb	Yb165g	3.20E7	70	Re surface	
