Isotope	State	Intensity (pps)	Proton current	Ion source	Info
63Eu	Eu160g	4.30E3	9	IG-LIS	
63Eu	Eu160g	1.80E3	9	IG-LIS	
63Eu	Eu160g	6.80E3	9	IG-LIS	
63Eu	Eu161g	2.20E3	9	IG-LIS	
63Eu	Eu161g	1.90E3	9	IG-LIS	
63Eu	Eu162g	3.50E2	9	IG-LIS	
63Eu	Eu163g	1.20E2	9	IG-LIS	
63Eu	Eu164g	9.80E0	9	IG-LIS	
37Rb	Rb94g	2.60E6	9	Re surface	
38Sr	Sr94g	3.50E6	9	TRILIS	
38Sr	Sr94g	1.30E9	9	TRILIS	
37Rb	Rb94g	4.50E7	9	Re surface	
37Rb	Rb94g	5.50E7	9	Re surface	
38Sr	Sr94g	2.30E8	9	Re surface	
38Sr	Sr94g	5.00E7	9	TRILIS	
37Rb	Rb94g	8.70E5	9	Re surface	
37Rb	Rb94g	9.00E5	9	Re surface	
38Sr	Sr94g	4.00E7	9	TRILIS	
37Rb	Rb94g	7.40E5	9	Re surface	
38Sr	Sr94g	2.80E7	9	TRILIS	
37Rb	Rb94g	6.40E5	9	Re surface	
38Sr	Sr94g	1.60E7	9	TRILIS	
37Rb	Rb94g	7.20E5	9	Re surface	
38Sr	Sr94g	3.50E7	9	TRILIS	
37Rb	Rb94g	5.70E5	9	Re surface	
38Sr	Sr94g	2.60E7	9	TRILIS	
37Rb	Rb94g	3.30E5	9	Re surface	
38Sr	Sr94g	1.50E7	9	TRILIS	
37Rb	Rb94g	2.00E5	9	Re surface	
38Sr	Sr94g	7.80E6	9	TRILIS	
88Ra	Ra211g	1.40E7	9	Re surface	
87Fr	Fr211g	8.20E8	9	Re surface	
87Fr	Fr213g	1.00E8	9	Re surface	
88Ra	Ra213g	2.70E7	9	Re surface	
87Fr	Fr213g	8.60E8	9	Re surface	
88Ra	Ra213g	3.50E8	9	Re surface	
11Na	Na32g	5.50E1	9	TRILIS	
12Mg	Mg33g	3.20E4	9	TRILIS	
12Mg	Mg34g	3.20E3	9	TRILIS	
87Fr	Fr211g	1.40E9	9	Re surface	
88Ra	Ra211g	3.70E7	9	Re surface	
11Na	Na27g	2.40E6	9	Re surface	
11Na	Na27g	2.00E6	9	Re surface	
11Na	Na26g	6.50E6	9	Re surface	
11Na	Na26g	4.70E6	9	Re surface	
11Na	Na28g	1.60E5	9	Re surface	
11Na	Na28g	1.50E5	9	Re surface	
11Na	Na29g	7.40E4	9	Re surface	
11Na	Na29g	4.80E4	9	Re surface	
11Na	Na30g	1.50E4	9	Re surface	
11Na	Na30g	1.40E4	9	Re surface	
11Na	Na31g	9.70E2	9	TRILIS	
11Na	Na32g	3.40E1	9	TRILIS	
12Mg	Mg30g	2.70E6	9	TRILIS	
12Mg	Mg30g	3.10E6	9	TRILIS	
12Mg	Mg31g	4.60E5	9	TRILIS	
